Item_Num;moveID;loc_reject;handler_reject;obj_reject;loc_refname;crate_refname;loc_handler_refname;capture_datetime;moveCSID;move2obj_CSID;obj2move_CSID
3-13785;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;e6219e63-d5ab-46be-8182-def23618d603;62c04eb5-242b-47cf-bc38-1ec9e003f338
3-11304;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;20c94254-e000-4d82-b704-6f008ee23831;50893361-1018-4b24-a4ef-f0a824ce4645
3-11582;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;f75d05a3-ca5a-491b-b09c-96b8a9180139;cc044d07-47cc-460b-a05c-a72ab135ffda
3-11331;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;471e2908-5284-43ef-8617-ce1213094e97;0684cadc-7b86-4d22-b256-bd8e5231c377
3-12314;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;72d72a86-9e71-46bc-8023-898fad6ebdda;3a245d1f-d817-4442-b3b4-25273cd3be5e
3-12731;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;a5070610-0326-49ea-b26b-1948440a464c;35b5d069-b8d0-4eec-87e5-196656540984
3-10315;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;6a571d69-e8f0-4e94-8a12-4126808ef66d;e9526c35-1679-46a7-a7f3-3786b5d845b8
3-11426;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;2959661c-f8d8-49fe-9700-f6116d8d9c8f;2705221b-fc84-445f-9c65-a69daf568a1e
3-11307;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;3a0181b8-99ab-4ead-863b-bd1f4aba92cc;d247d23f-4f31-4b34-b153-3999f83fd274
3-11830;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;1ddf2b1b-f904-45ab-9b39-f7ccf463872f;c4d36a77-968c-4487-83e4-44a3bda2937f
