Item_Num;moveID;loc_reject;handler_reject;obj_reject;loc_refname;crate_refname;loc_handler_refname;capture_datetime;moveCSID;move2obj_CSID;obj2move_CSID
2-8416;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;c786cbce-4071-4b40-b6b3-966c74445b42;dc38f3d6-0ebc-426b-bc8b-365809972c0a
2-58471a,b;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;1d2058db-8eee-484d-862d-756fc4f979ec;15dd5f4c-6a1e-4208-9130-87b0014d244a
2-68178;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;a0d6cbb8-8b56-4d47-ad51-23e2934fcd14;cd86a442-b263-413e-9392-f28ae0f32aa6
2-8403;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;b35713da-181f-4527-9d07-771e5af1f845;7d605cb2-b5e9-4095-ae61-d0efeffd82d4
2-36508;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;41249ec8-61ec-4244-8f22-a96a7f924303;ba20ab40-a70c-4bff-aefe-e41198862c2f
2-36509;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;7b83e7f7-0053-4be1-b701-a6b47adfd933;358f3021-79c3-40c3-bf9b-322564e92142
2-8404;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;043c854b-5826-41cc-bed3-8dc2cc4168b7;5d1fcfcd-9cf5-4b9c-89c4-bb71f8764790
2-8402;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;3a7e1985-1e64-4924-ba8c-7dcc497ad935;7d77a025-ccd9-4e6f-97c5-19f997e382f4
2-18683;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;8bd0f30e-cb0a-43b7-9cd2-a5598cc246c6;93983e15-6337-47f8-bbe1-b55ac6f10ebf
2-18687a,b;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;968a54b1-239f-427e-b7ba-32119e23aa16;1bdc3f71-8c88-420e-9378-1a8c8553488e
2-29224;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;4a8ce356-b419-4463-bc04-47d33b0fa8cb;ac6f9112-a1ea-42f3-ac38-e404fc012eaf
2-8424;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;97cf0cf9-7e9c-4e6e-8baf-4606733e913e;44385653-61d1-410f-874e-6e820282816b
2-8407;Barcode.20150904-2332-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;a85b8f31-dea4-491f-b48f-3a1fda5f61dd;011a4ea8-b555-4f66-9090-5e8897358e15;b787b35e-e9f1-42cb-ac2e-5b4907517f81
