Item_Num;moveID;loc_reject;handler_reject;obj_reject;loc_refname;crate_refname;loc_handler_refname;capture_datetime;moveCSID;move2obj_CSID;obj2move_CSID
3-10313;Barcode.20150916-1146-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;b020f18f-5bf2-4379-acc7-ef1530802606;d264b36d-897b-4ed7-a5b8-64345ba9f76a;9ae07257-1ada-490f-9476-a9232550dc8f
3-13849.2;Barcode.20150916-1146-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;b020f18f-5bf2-4379-acc7-ef1530802606;554b69da-a6e1-4a5c-9ad7-6ca59e854e57;f668975a-c405-4ea6-9751-935634d89080
3-23035;Barcode.20150916-1146-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;b020f18f-5bf2-4379-acc7-ef1530802606;54a91fbc-7fd9-4761-b742-469768273f6c;46fd76a0-e221-4f9e-93a6-17b97ddb347f
3-2822a;Barcode.20150916-1146-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;b020f18f-5bf2-4379-acc7-ef1530802606;e417feeb-e0c1-4c45-9f9d-114c6be067da;e339a774-c690-4e8a-a310-5e7e98e3c65f
3-10374;Barcode.20150916-1146-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;b020f18f-5bf2-4379-acc7-ef1530802606;51f0986d-9054-4be0-afc3-258d2cc4454c;fab840ab-7887-4cd6-937d-9bc427a9bfda
3-23048;Barcode.20150916-1146-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;b020f18f-5bf2-4379-acc7-ef1530802606;ab493f54-690d-4aea-89eb-e9dabcdbb819;dce2fca9-5cb7-4e91-a80d-412d87ba3d88
3-2538;Barcode.20150916-1146-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;b020f18f-5bf2-4379-acc7-ef1530802606;31ddc769-6064-4a7b-8966-d2846e398ace;45209005-7980-461f-a04d-670e97987d7d
3-13867;Barcode.20150916-1146-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;b020f18f-5bf2-4379-acc7-ef1530802606;6d1bff34-d575-42b4-ba2a-f3cfda811936;81e36390-2c3f-4486-b857-d0e6ff867e17
3-13777;Barcode.20150916-1146-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;b020f18f-5bf2-4379-acc7-ef1530802606;7b43626a-9a4a-4b0d-ae42-8f9c74317c89;58d9da10-b0f1-4b0f-ae44-ec2fcc2524e1
3-14053;Barcode.20150916-1146-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;b020f18f-5bf2-4379-acc7-ef1530802606;47fc8e1e-6a18-4c05-8686-ca17e44ab7a3;315bfd1e-4267-4962-94c7-4241a415b887
