Item_Num;moveID;loc_reject;handler_reject;obj_reject;loc_refname;crate_refname;loc_handler_refname;capture_datetime;moveCSID;move2obj_CSID;obj2move_CSID
2-8416;Barcode.20150916-0849-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;f71896d5-4f82-4fe4-aeb3-c8543b9b0bb6;34d92971-222b-47bd-8771-036b66a5f7bb;ac255d2f-9466-48e4-b7a9-4ea87410c7ef
2-58471a,b;Barcode.20150916-0849-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;f71896d5-4f82-4fe4-aeb3-c8543b9b0bb6;572767a3-81b4-4e54-8fdb-76af6442c473;b70060ed-a94c-4f69-9a98-a6dd04cd5a04
2-68178;Barcode.20150916-0849-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;f71896d5-4f82-4fe4-aeb3-c8543b9b0bb6;b00cb7b8-af10-4b11-81b8-726a39a5ae15;c6061a3a-e559-49d6-acc5-d4bf8415d548
2-8403;Barcode.20150916-0849-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;f71896d5-4f82-4fe4-aeb3-c8543b9b0bb6;0a0e088c-37ca-440a-927d-f53df4a19abc;9650a3f6-4518-4bae-841f-73dcd20b7c56
2-36508;Barcode.20150916-0849-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;f71896d5-4f82-4fe4-aeb3-c8543b9b0bb6;6c903171-ba6a-4d54-b15b-5af3559a2b3e;9ef1c4ac-bb22-4e47-9c5b-8dbf39dbbd11
2-36509;Barcode.20150916-0849-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;f71896d5-4f82-4fe4-aeb3-c8543b9b0bb6;f074717f-9730-4fc7-bf2b-35bda7a2575b;834670f9-f5ac-40ea-9e86-4c24de27e5cb
2-8404;Barcode.20150916-0849-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;f71896d5-4f82-4fe4-aeb3-c8543b9b0bb6;64787d69-f86d-48ec-a5c6-25ef4da48e71;b8a0e5e6-226d-4e44-a7ef-1490501bdab8
2-8402;Barcode.20150916-0849-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;f71896d5-4f82-4fe4-aeb3-c8543b9b0bb6;afbfd53f-7776-4e76-a896-484231b8ba02;4fe102ff-55b2-4102-b542-e4ca7531522d
2-18683;Barcode.20150916-0849-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;f71896d5-4f82-4fe4-aeb3-c8543b9b0bb6;138130fb-61ab-4aae-986c-d1aad0ad655b;85fb0a96-6468-49aa-8f7f-9150e014bed7
2-18687a,b;Barcode.20150916-0849-R.0066;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(Kroeber20AMezFF03011423770780213)'Kroeber, 20AMez, FF 03, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(cr3887)'Cat. 2 Ceramics Box 130';;2015-09-02T15:24:00Z;f71896d5-4f82-4fe4-aeb3-c8543b9b0bb6;da7ab301-d69f-4845-8131-5282b599d90d;ab31ae1f-1a83-4f29-988b-407133cec57b
