Item_Num;moveID;loc_reject;handler_reject;obj_reject;loc_refname;crate_refname;loc_handler_refname;capture_datetime;moveCSID;move2obj_CSID;obj2move_CSID
1-22009;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;15ecbfbf-009d-46ff-a90d-3f5ad8e286ab;b4b9380f-7768-4245-bc54-16ba99236440
1-21992;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;c2a3c19a-3a81-4721-93aa-56cd7574fd16;314892ca-033e-4f97-8958-7e70b6b4f1d6
1-201596;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;05b81763-25e6-4e15-9c4a-a5cfd1a55465;89001f81-4ed5-42d0-a1f9-53d3b15788a8
1-201597;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;f4789989-3200-406a-bc3c-07b66beadfb9;e352d690-848b-4f8a-82f8-650916817514
1-67111;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;66ff3153-a5a4-44ff-8e1a-e15aa37e70fa;60660595-09e5-4d80-bf4d-408b1b54ece8
1-163039;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;8a172aa2-f692-40d1-ab51-4764f5938fb3;8a9dfc23-e48e-4105-9fa1-d0d63544aa20
1-163237;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;abfcfe81-9098-43b9-8d30-5dd4ab799aa0;071eaae0-2f54-44dc-94a0-ede937b71d1d
1-163227;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;6e79b82c-870b-4348-b16f-cfa7bf3db7d9;313f61f7-3a6d-41cb-8f5e-e3bf94b63123
1-163254;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;88deefa7-539a-43cd-8ba5-657ee4c572b6;4e4e84b6-308c-498a-889e-04e4ccca6db3
1-163058;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;5e69b05a-e61c-4d33-8d13-8c7626d1372a;42f9818c-08fa-4f8c-830d-1a28f596dd7e
1-163042;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;c388d228-b731-45e3-aaca-5b7a2c63b3cd;4aeaf3d8-716b-46a6-9bf2-6b7cb78569ea
1-163062;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;c6323419-57f3-4e67-af6b-b75fc46ac927;a7ffe6cd-062d-4c3e-bd6d-5f4871b4f6b4
1-163250;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;1c79f0bc-4b0a-41fd-84fe-29b736d73816;2c8ce8c0-2fc7-48b8-9705-3278b12b2038
1-163231;Barcode.20150908-1431-R.0043;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13783)'Kroeber, 20AMez, HH 12, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CaliforniaArchaeologyStorageBox00811390421244478)'California Archaeology Storage Box 0081';;2015-09-03T14:24:00Z;ff87e728-0ed0-4b97-b12c-fffa41a1b715;3c9beace-3ea5-4b8e-ad12-0c6b5338c507;01ca17bd-4f58-4867-8846-fba024cbe841
