reason_for_move;person_scanning;date_time;current_crate;new_location;person_refname;crate_refname;loc_refname;moveID;move_CSID;datetimeTZ
R;Jon Oligmueller;09/02/2015 10:59;Central American Archaeology Storage Box 0008;Kroeber, 20AMez, EE 09, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';Barcode.20150916-0849-R.0001;40addafd-cddf-4f01-942c-255b2035c905;2015-09-02T10:59:00Z
R;Jon Oligmueller;09/02/2015 10:59;Central American Archaeology Storage Box 0009;Kroeber, 20AMez, EE 09, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00091395415370663)'Central American Archaeology Storage Box 0009';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';Barcode.20150916-0849-R.0002;c11c67d3-3540-42c2-8492-8f91f3c4eaad;2015-09-02T10:59:00Z
R;Jon Oligmueller;09/02/2015 10:59;Central American Archaeology Storage Box 0010;Kroeber, 20AMez, EE 09, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00101395415379667)'Central American Archaeology Storage Box 0010';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';Barcode.20150916-0849-R.0003;9b291fcc-8e1a-4c78-bc29-b89f3b549e32;2015-09-02T10:59:00Z
R;Jon Oligmueller;09/02/2015 10:59;Central American Archaeology Storage Box 0011;Kroeber, 20AMez, EE 09, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00111395415387741)'Central American Archaeology Storage Box 0011';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';Barcode.20150916-0849-R.0004;7bdb3e80-c6f6-4871-8fc3-02f317e9a872;2015-09-02T10:59:00Z
R;Jon Oligmueller;09/02/2015 10:59;Central American Archaeology Storage Box 0012;Kroeber, 20AMez, EE 09, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00121395415395031)'Central American Archaeology Storage Box 0012';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';Barcode.20150916-0849-R.0005;f008acc5-5e4c-4389-9a3c-a085cb087ca5;2015-09-02T10:59:00Z
R;Jon Oligmueller;09/02/2015 10:59;Central American Archaeology Storage Box 0013;Kroeber, 20AMez, EE 09, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00131395415403941)'Central American Archaeology Storage Box 0013';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';Barcode.20150916-0849-R.0006;9c72ecdb-eb06-4cc2-affd-29426fb1ac26;2015-09-02T10:59:00Z
R;Jon Oligmueller;09/02/2015 10:59;Central American Archaeology Storage Box 0014;Kroeber, 20AMez, EE 09, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00141395415412257)'Central American Archaeology Storage Box 0014';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';Barcode.20150916-0849-R.0007;0327ee2e-0e56-46f9-9457-a480f6751037;2015-09-02T10:59:00Z
R;Jon Oligmueller;09/02/2015 10:59;Central American Archaeology Storage Box 0015;Kroeber, 20AMez, EE 09, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00151395415419820)'Central American Archaeology Storage Box 0015';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';Barcode.20150916-0849-R.0008;f6712128-abcf-4572-86d6-36d012db0d13;2015-09-02T10:59:00Z
R;Jon Oligmueller;09/02/2015 10:59;Central American Archaeology Storage Box 0016;Kroeber, 20AMez, EE 09, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00161395415428463)'Central American Archaeology Storage Box 0016';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';Barcode.20150916-0849-R.0009;3c5c5468-2290-40af-b602-afb5966d4927;2015-09-02T10:59:00Z
R;Jon Oligmueller;09/02/2015 10:59;Central American Archaeology Storage Box 0017;Kroeber, 20AMez, EE 09, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00171395415439803)'Central American Archaeology Storage Box 0017';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';Barcode.20150916-0849-R.0010;ba40ba98-6643-406b-93ed-47ba6de5ee70;2015-09-02T10:59:00Z
