A1811681
"C","A1811681","09/11/2015 10:59","12-96(0)","HSR Drawer 0054","Kroeber, 20A, T 04, 04"
"C","A1811681","09/11/2015 10:59","12-98(0)","HSR Drawer 0054","Kroeber, 20A, T 04, 04"
"C","A1811681","09/11/2015 10:59","12-6451(0)","HSR Drawer 0054","Kroeber, 20A, T 04, 04"
"C","A1811681","09/11/2015 10:59","12-11253(0)","HSR Drawer 0054","Kroeber, 20A, T 04, 04"
HSR Drawer 0055
09/11/2015 11:00
Kroeber, 20A, T 04, 05
"C","A1811681","09/11/2015 11:00","12-99(0)","HSR Drawer 0055","Kroeber, 20A, T 04, 05"
"C","A1811681","09/11/2015 11:00","12-93(0)","HSR Drawer 0055","Kroeber, 20A, T 04, 05"
"C","A1811681","09/11/2015 11:00","12-97(0)","HSR Drawer 0055","Kroeber, 20A, T 04, 05"
"C","A1811681","09/11/2015 11:00","12-92(0)","HSR Drawer 0055","Kroeber, 20A, T 04, 05"
HSR Drawer 0056
09/11/2015 11:00
Kroeber, 20A, T 04, 05
"C","A1811681","09/11/2015 11:00","12-126(0)","HSR Drawer 0056","Kroeber, 20A, T 04, 05"
"C","A1811681","09/11/2015 11:00","12-125(0)","HSR Drawer 0056","Kroeber, 20A, T 04, 05"
"C","A1811681","09/11/2015 11:00","12-124(0)","HSR Drawer 0056","Kroeber, 20A, T 04, 05"
"C","A1811681","09/11/2015 11:00","12-127(0)","HSR Drawer 0056","Kroeber, 20A, T 04, 05"
"C","A1811681","09/11/2015 11:00","12-123(0)","HSR Drawer 0056","Kroeber, 20A, T 04, 05"
"C","A1811681","09/11/2015 11:00","12-122(0)","HSR Drawer 0056","Kroeber, 20A, T 04, 05"
HSR Drawer 0057
09/11/2015 11:01
Kroeber, 20A, T 04, 06
"C","A1811681","09/11/2015 11:01","12-128(0)","HSR Drawer 0057","Kroeber, 20A, T 04, 06"
"C","A1811681","09/11/2015 11:01","12-129.1","HSR Drawer 0057","Kroeber, 20A, T 04, 06"
"C","A1811681","09/11/2015 11:01","12-130(0)","HSR Drawer 0057","Kroeber, 20A, T 04, 06"
"C","A1811681","09/11/2015 11:01","12-131(0)","HSR Drawer 0057","Kroeber, 20A, T 04, 06"
"C","A1811681","09/11/2015 11:01","12-132(0)","HSR Drawer 0057","Kroeber, 20A, T 04, 06"
"C","A1811681","09/11/2015 11:01","12-133(0)","HSR Drawer 0057","Kroeber, 20A, T 04, 06"
HSR Drawer 0058
09/11/2015 11:01
Kroeber, 20A, T 04, 06
"C","A1811681","09/11/2015 11:01","12-139(0)","HSR Drawer 0058","Kroeber, 20A, T 04, 06"
"C","A1811681","09/11/2015 11:01","12-138(0)","HSR Drawer 0058","Kroeber, 20A, T 04, 06"
"C","A1811681","09/11/2015 11:01","12-137(0)","HSR Drawer 0058","Kroeber, 20A, T 04, 06"
"C","A1811681","09/11/2015 11:01","12-136(0)","HSR Drawer 0058","Kroeber, 20A, T 04, 06"
"C","A1811681","09/11/2015 11:01","12-135(0)","HSR Drawer 0058","Kroeber, 20A, T 04, 06"
"C","A1811681","09/11/2015 11:01","12-134(0)","HSR Drawer 0058","Kroeber, 20A, T 04, 06"
HSR Drawer 0059
09/11/2015 11:02
Kroeber, 20A, T 04, 07
